po_id,supplier_id,site_id,part_id,ordered_qty,promised_lead_time,qty_fill_rate,is_late
PO000044,SUP004,SITE04,P00001,14,26,0.9999992857147959,1
PO000045,SUP004,SITE04,P00001,14,30,0.9999992857147959,1
PO000046,SUP004,SITE04,P00001,12,28,0.9999991666673611,1
PO000047,SUP004,SITE04,P00001,16,27,0.9999993750003906,1
PO000048,SUP004,SITE04,P00001,4,27,0.9999975000062501,0
PO000049,SUP004,SITE04,P00001,13,29,0.9999992307698226,0
PO000050,SUP004,SITE04,P00001,5,25,0.9999980000040001,1
PO000051,SUP004,SITE04,P00001,5,27,0.9999980000040001,0
PO000052,SUP004,SITE04,P00001,6,27,0.9999983333361112,0
PO000053,SUP004,SITE04,P00001,14,27,0.9999992857147959,1
PO000054,SUP004,SITE04,P00001,13,27,0.9999992307698226,0
PO000055,SUP004,SITE04,P00001,16,27,0.9999993750003906,0
PO000056,SUP004,SITE04,P00001,11,25,0.9999990909099173,0
PO000057,SUP004,SITE05,P00001,7,22,0.9999985714306123,1
PO000058,SUP004,SITE05,P00001,5,29,0.9999980000040001,1
PO000059,SUP004,SITE05,P00001,8,26,0.7499990625011719,1
PO000060,SUP004,SITE05,P00001,6,27,0.9999983333361112,1
PO000061,SUP004,SITE05,P00001,28,29,0.9999996428572704,1
PO000062,SUP004,SITE05,P00001,3,30,0.9999966666777778,1
PO000063,SUP004,SITE05,P00001,8,26,0.9999987500015626,0
PO000064,SUP004,SITE05,P00001,7,26,0.9999985714306123,0
PO000065,SUP004,SITE05,P00001,5,22,0.9999980000040001,0
PO000066,SUP004,SITE05,P00001,7,25,0.8571416326548106,0
PO000067,SUP004,SITE05,P00001,11,33,0.9999990909099173,0
PO000068,SUP004,SITE05,P00001,8,26,0.9999987500015626,1
PO000069,SUP004,SITE05,P00001,2,31,0.9999950000249999,1
PO000070,SUP004,SITE05,P00001,10,27,0.9999990000010001,0
PO000071,SUP004,SITE06,P00001,13,30,0.9999992307698226,0
PO000072,SUP004,SITE06,P00001,6,24,0.9999983333361112,0
PO000073,SUP004,SITE06,P00001,37,29,0.9999997297298027,1
PO000074,SUP004,SITE06,P00001,16,26,0.9999993750003906,1
PO000075,SUP004,SITE06,P00001,7,29,0.9999985714306123,0
PO000076,SUP004,SITE06,P00001,5,26,0.9999980000040001,0
PO000077,SUP004,SITE06,P00001,12,27,0.9999991666673611,0
PO000078,SUP004,SITE06,P00001,14,31,0.9999992857147959,0
PO000079,SUP004,SITE06,P00001,9,26,0.9999988888901234,0
PO000080,SUP004,SITE06,P00001,13,27,0.9999992307698226,0
PO000081,SUP004,SITE06,P00001,6,26,0.9999983333361112,0
PO000082,SUP004,SITE06,P00001,7,31,0.9999985714306123,1
PO000083,SUP004,SITE06,P00001,6,33,0.9999983333361112,1
PO000084,SUP004,SITE06,P00001,12,26,0.9166659027784144,1
PO000085,SUP004,SITE06,P00001,6,27,0.9999983333361112,1
PO000086,SUP004,SITE06,P00001,6,30,0.9999983333361112,1
PO000087,SUP004,SITE06,P00001,10,27,0.9999990000010001,1
PO000088,SUP028,SITE01,P00002,15,31,0.9999993333337778,1
PO000089,SUP028,SITE01,P00002,7,36,0.9999985714306123,0
PO000090,SUP028,SITE01,P00002,5,32,0.9999980000040001,0
PO000091,SUP028,SITE01,P00002,32,31,0.9999996875000976,1
PO000092,SUP028,SITE01,P00002,5,28,0.9999980000040001,0
PO000093,SUP028,SITE01,P00002,9,30,0.9999988888901234,0
PO000094,SUP028,SITE01,P00002,12,29,0.9999991666673611,0
PO000095,SUP028,SITE01,P00002,10,32,0.9999990000010001,0
PO000096,SUP028,SITE01,P00002,7,29,0.9999985714306123,0
PO000097,SUP028,SITE01,P00002,26,32,0.9999996153847633,1
PO000098,SUP028,SITE01,P00002,18,31,0.9999994444447531,0
PO000099,SUP028,SITE01,P00002,8,26,0.9999987500015626,0
PO000100,SUP028,SITE01,P00002,8,29,0.9999987500015626,1
PO000101,SUP028,SITE01,P00002,12,32,0.9999991666673611,1
PO000102,SUP028,SITE01,P00002,10,33,0.9999990000010001,1
PO000103,SUP028,SITE01,P00002,6,30,0.9999983333361112,1
PO000104,SUP028,SITE01,P00002,21,31,0.9999995238097505,1
PO000105,SUP028,SITE01,P00002,6,25,0.9999983333361112,1
PO000106,SUP028,SITE01,P00002,4,31,0.9999975000062501,0
PO000107,SUP028,SITE01,P00002,15,36,0.9999993333337778,1
PO000108,SUP028,SITE01,P00002,11,36,0.9999990909099173,0
PO000109,SUP028,SITE01,P00002,11,31,0.9999990909099173,0
PO000110,SUP028,SITE02,P00002,51,32,0.999999803921607,1
PO000111,SUP028,SITE02,P00002,19,33,0.9999994736844876,1
PO000112,SUP028,SITE02,P00002,30,32,0.7999997333334222,0
PO000113,SUP028,SITE02,P00002,14,28,0.9999992857147959,0
PO000114,SUP028,SITE02,P00002,83,29,0.9999998795180868,0
PO000115,SUP028,SITE02,P00002,25,32,0.99999960000016,1
PO000116,SUP028,SITE02,P00002,33,27,0.9999996969697887,0
PO000117,SUP028,SITE02,P00002,22,29,0.9999995454547521,0
PO000118,SUP028,SITE02,P00002,20,33,0.9999995000002501,1
PO000119,SUP028,SITE02,P00002,26,24,0.8461535207101843,1
PO000120,SUP028,SITE02,P00002,15,26,0.9999993333337778,0
PO000121,SUP028,SITE02,P00002,13,28,0.9999992307698226,1
PO000122,SUP028,SITE02,P00002,24,29,0.9999995833335069,1
PO000123,SUP028,SITE02,P00002,79,32,0.9999998734177376,0
PO000124,SUP028,SITE02,P00002,11,32,0.9999990909099173,0
PO000125,SUP028,SITE02,P00002,45,30,0.8666664740741168,0
PO000126,SUP028,SITE02,P00002,34,30,0.9999997058824394,1
PO000127,SUP028,SITE02,P00002,24,31,0.9999995833335069,0
PO000128,SUP028,SITE02,P00002,15,33,0.9999993333337778,0
PO000129,SUP028,SITE02,P00002,38,32,0.9999997368421745,0
PO000130,SUP028,SITE02,P00002,15,31,0.9999993333337778,0
PO000131,SUP028,SITE02,P00002,28,30,0.9999996428572704,0
PO000132,SUP028,SITE02,P00002,32,33,0.9999996875000976,1
PO000133,SUP028,SITE02,P00002,35,28,0.9999997142857958,1
PO000134,SUP028,SITE02,P00002,69,33,0.9999998550724847,1
PO000135,SUP028,SITE02,P00002,13,30,0.9999992307698226,0
PO000136,SUP028,SITE02,P00002,25,27,0.99999960000016,0
PO000137,SUP028,SITE02,P00002,37,31,0.9999997297298027,0
PO000138,SUP028,SITE02,P00002,31,29,0.9999996774194589,0
PO000139,SUP028,SITE02,P00002,20,31,0.9999995000002501,0
PO000140,SUP028,SITE02,P00002,52,31,0.9999998076923446,0
PO000141,SUP028,SITE02,P00002,20,30,0.9999995000002501,1
PO000142,SUP028,SITE02,P00002,26,32,0.9999996153847633,1
PO000143,SUP028,SITE02,P00002,32,32,0.9999996875000976,0
PO000144,SUP028,SITE02,P00002,17,27,0.9999994117650519,0
PO000145,SUP028,SITE03,P00002,29,31,0.9999996551725328,0
PO000146,SUP028,SITE03,P00002,25,30,0.99999960000016,0
PO000147,SUP028,SITE03,P00002,61,37,0.9999998360656006,1
PO000148,SUP028,SITE03,P00002,57,34,0.9298243982764213,1
PO000149,SUP028,SITE03,P00002,22,31,0.9999995454547521,1
PO000150,SUP028,SITE03,P00002,12,28,0.9999991666673611,1
PO000151,SUP028,SITE03,P00002,19,32,0.9999994736844876,1
PO000152,SUP028,SITE03,P00002,41,33,0.9999997560976204,0
PO000153,SUP028,SITE03,P00002,35,36,0.9999997142857958,0
PO000154,SUP028,SITE03,P00002,224,32,0.9999999553571448,0
PO000155,SUP028,SITE03,P00002,62,30,0.9999998387097034,0
PO000156,SUP028,SITE03,P00002,40,29,0.9999997500000625,0
PO000157,SUP028,SITE03,P00002,19,32,0.9999994736844876,1
PO000158,SUP028,SITE03,P00002,72,27,0.9999998611111304,0
PO000159,SUP028,SITE03,P00002,48,32,0.99999979166671,0
PO000160,SUP028,SITE03,P00002,51,34,0.999999803921607,1
PO000161,SUP028,SITE03,P00002,103,29,0.9999999029126307,1
PO000162,SUP028,SITE03,P00002,22,30,0.9090904958679564,1
PO000163,SUP028,SITE03,P00002,14,32,0.9999992857147959,1
PO000164,SUP028,SITE03,P00002,39,31,0.9999997435898093,1
PO000165,SUP028,SITE03,P00002,50,35,0.99999980000004,1
PO000166,SUP028,SITE03,P00002,36,31,0.9999997222222993,1
PO000167,SUP028,SITE03,P00002,61,30,0.9999998360656006,0
PO000168,SUP028,SITE03,P00002,27,31,0.9999996296297669,0
PO000169,SUP028,SITE03,P00002,33,26,0.9999996969697887,1
PO000170,SUP028,SITE03,P00002,30,32,0.9999996666667778,0
PO000171,SUP028,SITE03,P00002,57,32,0.9999998245614342,0
PO000172,SUP028,SITE03,P00002,49,32,0.9999997959184089,0
PO000173,SUP028,SITE03,P00002,19,32,0.9999994736844876,0
PO000174,SUP028,SITE03,P00002,31,33,0.9999996774194589,1
PO000175,SUP028,SITE03,P00002,26,29,0.9999996153847633,1
PO000176,SUP028,SITE03,P00002,17,33,0.7058819377165072,1
PO000177,SUP028,SITE03,P00002,27,27,0.6296293964335569,0
PO000178,SUP028,SITE03,P00002,47,29,0.9999997872340878,0
PO000179,SUP028,SITE03,P00002,70,34,0.9999998571428775,0
PO000180,SUP028,SITE04,P00002,35,29,0.7999997714286367,0
PO000181,SUP028,SITE04,P00002,36,37,0.9999997222222993,0
PO000182,SUP028,SITE04,P00002,62,34,0.9999998387097034,0
PO000183,SUP028,SITE04,P00002,51,31,0.999999803921607,0
PO000184,SUP028,SITE04,P00002,29,35,0.9999996551725328,0
PO000185,SUP028,SITE04,P00002,31,33,0.9999996774194589,0
PO000186,SUP028,SITE04,P00002,12,32,0.9999991666673611,0
PO000187,SUP028,SITE04,P00002,32,32,0.9999996875000976,0
PO000188,SUP028,SITE04,P00002,160,33,0.9999999375000039,1
PO000189,SUP028,SITE04,P00002,25,30,0.99999960000016,0
PO000190,SUP028,SITE04,P00002,24,29,0.8333329861112558,1
PO000191,SUP028,SITE04,P00002,35,32,0.9999997142857958,0
PO000192,SUP028,SITE04,P00002,54,29,0.999999814814849,0
PO000193,SUP028,SITE04,P00002,41,35,0.9024388042832184,0
PO000194,SUP028,SITE04,P00002,29,30,0.9999996551725328,0
PO000195,SUP028,SITE04,P00002,62,32,0.9999998387097034,1
PO000196,SUP028,SITE04,P00002,41,32,0.9999997560976204,1
PO000197,SUP028,SITE04,P00002,71,33,0.9999998591549494,0
PO000198,SUP028,SITE04,P00002,52,31,0.9999998076923446,0
PO000199,SUP028,SITE04,P00002,36,30,0.9999997222222993,0
PO000200,SUP028,SITE04,P00002,26,34,0.9999996153847633,0
PO000201,SUP028,SITE04,P00002,19,34,0.9999994736844876,0
PO000202,SUP028,SITE04,P00002,27,33,0.6296293964335569,0
PO000203,SUP028,SITE04,P00002,19,32,0.9999994736844876,1
PO000204,SUP028,SITE04,P00002,22,32,0.9999995454547521,0
PO000205,SUP028,SITE04,P00002,28,28,0.9999996428572704,1
PO000206,SUP028,SITE04,P00002,39,28,0.9999997435898093,0
PO000207,SUP028,SITE04,P00002,26,30,0.9999996153847633,0
PO000208,SUP028,SITE04,P00002,11,32,0.9999990909099173,1
PO000209,SUP028,SITE04,P00002,60,30,0.9999998333333611,0
PO000210,SUP028,SITE04,P00002,24,26,0.9999995833335069,1
PO000211,SUP028,SITE04,P00002,16,33,0.9999993750003906,0
PO000212,SUP028,SITE04,P00002,50,29,0.99999980000004,1
PO000213,SUP028,SITE04,P00002,25,29,0.99999960000016,0
PO000214,SUP028,SITE04,P00002,48,31,0.99999979166671,0
PO000215,SUP028,SITE05,P00002,24,27,0.9999995833335069,0
PO000216,SUP028,SITE05,P00002,16,31,0.9999993750003906,1
PO000217,SUP028,SITE05,P00002,5,31,0.9999980000040001,1
PO000218,SUP028,SITE05,P00002,18,30,0.9999994444447531,0
PO000219,SUP028,SITE05,P00002,32,26,0.9999996875000976,0
PO000220,SUP028,SITE05,P00002,27,29,0.9999996296297669,1
PO000221,SUP028,SITE05,P00002,9,30,0.9999988888901234,0
PO000222,SUP028,SITE05,P00002,5,34,0.9999980000040001,0
PO000223,SUP028,SITE05,P00002,27,30,0.9999996296297669,0
PO000224,SUP028,SITE05,P00002,12,27,0.9999991666673611,0
PO000225,SUP028,SITE05,P00002,18,32,0.9999994444447531,0
PO000226,SUP028,SITE05,P00002,43,30,0.6744184478096632,0
PO000227,SUP028,SITE05,P00002,28,28,0.9999996428572704,0
PO000228,SUP028,SITE05,P00002,9,29,0.9999988888901234,1
PO000229,SUP028,SITE05,P00002,12,29,0.9999991666673611,0
PO000230,SUP028,SITE05,P00002,9,33,0.9999988888901234,0
PO000231,SUP028,SITE05,P00002,24,30,0.9999995833335069,1
PO000232,SUP028,SITE05,P00002,14,30,0.7142852040819971,0
PO000233,SUP028,SITE05,P00002,40,33,0.9999997500000625,1
PO000234,SUP028,SITE05,P00002,19,37,0.9999994736844876,0
PO000235,SUP028,SITE05,P00002,4,27,0.9999975000062501,1
PO000236,SUP028,SITE05,P00002,31,29,0.9999996774194589,1
PO000237,SUP028,SITE05,P00002,9,32,0.8888879012356653,0
PO000238,SUP028,SITE05,P00002,12,32,0.9999991666673611,1
PO000239,SUP028,SITE05,P00002,40,34,0.9999997500000625,1
PO000240,SUP028,SITE05,P00002,10,32,0.9999990000010001,0
PO000241,SUP028,SITE05,P00002,38,30,0.9999997368421745,1
PO000242,SUP028,SITE05,P00002,27,29,0.9999996296297669,1
PO000243,SUP028,SITE05,P00002,10,32,0.9999990000010001,1
PO000244,SUP028,SITE05,P00002,28,30,0.9999996428572704,0
PO000245,SUP028,SITE05,P00002,27,34,0.9999996296297669,0
PO000246,SUP028,SITE05,P00002,38,32,0.6315787811634785,1
PO000247,SUP028,SITE05,P00002,19,31,0.9999994736844876,0
PO000248,SUP028,SITE05,P00002,13,31,0.9999992307698226,0
PO000249,SUP028,SITE06,P00002,46,27,0.9999997826087429,0
PO000250,SUP028,SITE06,P00002,25,29,0.99999960000016,0
PO000251,SUP028,SITE06,P00002,37,33,0.7027025127831046,0
PO000252,SUP028,SITE06,P00002,44,31,0.9999997727273243,1
PO000253,SUP028,SITE06,P00002,14,28,0.9999992857147959,0
PO000254,SUP028,SITE06,P00002,18,30,0.9999994444447531,0
PO000255,SUP028,SITE06,P00002,51,29,0.999999803921607,0
PO000256,SUP028,SITE06,P00002,165,32,0.999999939393943,1
PO000257,SUP028,SITE06,P00002,52,26,0.9999998076923446,0
PO000258,SUP028,SITE06,P00002,62,31,0.9999998387097034,0
PO000259,SUP028,SITE06,P00002,53,33,0.9999998113207903,1
PO000260,SUP028,SITE06,P00002,28,32,0.9999996428572704,1
PO000261,SUP028,SITE06,P00002,31,30,0.9999996774194589,0
PO000262,SUP028,SITE06,P00002,22,28,0.9999995454547521,1
PO000263,SUP028,SITE06,P00002,13,26,0.9999992307698226,0
PO000264,SUP028,SITE06,P00002,112,29,0.7499999330357202,1
PO000265,SUP028,SITE06,P00002,30,32,0.9999996666667778,0
PO000266,SUP028,SITE06,P00002,45,35,0.6888887358025031,0
PO000267,SUP028,SITE06,P00002,26,34,0.9999996153847633,0
PO000268,SUP028,SITE06,P00002,17,32,0.9999994117650519,0
PO000269,SUP028,SITE06,P00002,23,32,0.9999995652175804,0
PO000270,SUP028,SITE06,P00002,60,27,0.9999998333333611,1
PO000271,SUP028,SITE06,P00002,73,30,0.9999998630137173,1
PO000272,SUP028,SITE06,P00002,64,31,0.8906248608398655,1
PO000273,SUP028,SITE06,P00002,39,28,0.9999997435898093,0
PO000274,SUP028,SITE06,P00002,54,25,0.999999814814849,0
PO000275,SUP028,SITE06,P00002,21,32,0.9999995238097505,0
PO000276,SUP028,SITE06,P00002,32,35,0.9999996875000976,0
PO000277,SUP028,SITE06,P00002,27,33,0.9999996296297669,1
PO000278,SUP028,SITE06,P00002,73,31,0.9999998630137173,0
PO000279,SUP028,SITE06,P00002,38,31,0.9999997368421745,0
PO000280,SUP028,SITE06,P00002,40,32,0.9999997500000625,1
PO000281,SUP028,SITE06,P00002,14,29,0.9999992857147959,1
PO000282,SUP028,SITE06,P00002,83,29,0.9999998795180868,0
PO000283,SUP028,SITE06,P00002,19,35,0.9999994736844876,0
PO000284,SUP040,SITE01,P00003,2,46,0.9999950000249999,1
PO000285,SUP040,SITE01,P00003,8,49,0.9999987500015626,1
PO000286,SUP040,SITE01,P00003,7,39,0.9999985714306123,1
PO000287,SUP040,SITE01,P00003,10,52,0.9999990000010001,1
PO000288,SUP040,SITE01,P00003,11,46,0.6363630578517656,1
PO000289,SUP040,SITE01,P00003,14,51,0.9999992857147959,1
PO000290,SUP040,SITE01,P00003,10,47,0.6999993000007,1
PO000291,SUP040,SITE01,P00003,8,45,0.9999987500015626,0
PO000292,SUP040,SITE01,P00003,7,48,0.9999985714306123,0
PO000293,SUP040,SITE01,P00003,24,46,0.9999995833335069,0
PO000294,SUP040,SITE01,P00003,6,46,0.9999983333361112,1
PO000295,SUP040,SITE01,P00003,7,51,0.7142846938790088,1
PO000296,SUP040,SITE01,P00003,7,50,0.7142846938790088,1
PO000297,SUP040,SITE01,P00003,10,41,0.9999990000010001,1
PO000298,SUP040,SITE01,P00003,8,49,0.9999987500015626,1
PO000299,SUP040,SITE01,P00003,9,48,0.9999988888901234,1
PO000300,SUP040,SITE01,P00003,5,52,0.9999980000040001,0
PO000301,SUP040,SITE02,P00003,26,55,0.8076919970415396,1
PO000302,SUP040,SITE02,P00003,12,52,0.9999991666673611,0
PO000303,SUP040,SITE02,P00003,9,47,0.9999988888901234,0
PO000304,SUP040,SITE02,P00003,15,42,0.9999993333337778,1
PO000305,SUP040,SITE02,P00003,29,40,0.9999996551725328,0
PO000306,SUP040,SITE02,P00003,31,56,0.9999996774194589,1
PO000307,SUP040,SITE02,P00003,8,46,0.9999987500015626,0
PO000308,SUP040,SITE02,P00003,8,45,0.9999987500015626,1
PO000309,SUP040,SITE02,P00003,35,57,0.9999997142857958,1
PO000310,SUP040,SITE02,P00003,7,52,0.8571416326548106,1
PO000311,SUP040,SITE02,P00003,18,45,0.9999994444447531,1
PO000312,SUP040,SITE02,P00003,12,50,0.9999991666673611,1
PO000313,SUP040,SITE02,P00003,4,51,0.9999975000062501,1
PO000314,SUP040,SITE02,P00003,12,47,0.9999991666673611,0
PO000315,SUP040,SITE02,P00003,17,45,0.7058819377165072,1
PO000316,SUP040,SITE02,P00003,14,53,0.6428566836737974,1
PO000317,SUP040,SITE02,P00003,9,57,0.666665925926749,0
PO000318,SUP040,SITE02,P00003,31,51,0.9999996774194589,1
PO000319,SUP040,SITE02,P00003,14,52,0.6428566836737974,1
PO000320,SUP040,SITE02,P00003,6,43,0.9999983333361112,0
PO000321,SUP040,SITE02,P00003,18,41,0.9999994444447531,0
PO000322,SUP040,SITE02,P00003,64,53,0.9999998437500244,1
PO000323,SUP040,SITE02,P00003,12,47,0.9999991666673611,1
PO000324,SUP040,SITE02,P00003,7,52,0.9999985714306123,0
PO000325,SUP040,SITE02,P00003,7,44,0.9999985714306123,1
PO000326,SUP040,SITE02,P00003,20,47,0.7499996250001875,1
PO000327,SUP040,SITE02,P00003,6,44,0.9999983333361112,1
PO000328,SUP040,SITE02,P00003,22,49,0.9999995454547521,0
PO000329,SUP040,SITE03,P00003,10,48,0.9999990000010001,0
PO000330,SUP040,SITE03,P00003,8,56,0.8749989062513672,0
PO000331,SUP040,SITE03,P00003,7,56,0.9999985714306123,1
PO000332,SUP040,SITE03,P00003,20,43,0.9999995000002501,1
PO000333,SUP040,SITE03,P00003,22,48,0.7272723966943652,1
PO000334,SUP040,SITE03,P00003,6,52,0.6666655555574075,1
PO000335,SUP040,SITE03,P00003,5,52,0.9999980000040001,1
PO000336,SUP040,SITE03,P00003,8,45,0.7499990625011719,1
PO000337,SUP040,SITE03,P00003,7,48,0.9999985714306123,1
PO000338,SUP040,SITE03,P00003,26,50,0.9999996153847633,1
PO000339,SUP040,SITE03,P00003,8,52,0.9999987500015626,0
PO000340,SUP040,SITE03,P00003,9,44,0.9999988888901234,0
PO000341,SUP040,SITE03,P00003,8,47,0.9999987500015626,0
PO000342,SUP040,SITE03,P00003,4,54,0.9999975000062501,0
PO000343,SUP040,SITE03,P00003,4,52,0.7499981250046875,1
PO000344,SUP040,SITE03,P00003,4,48,0.7499981250046875,1
PO000345,SUP040,SITE04,P00003,26,55,0.9999996153847633,1
PO000346,SUP040,SITE04,P00003,33,45,0.9999996969697887,0
PO000347,SUP040,SITE04,P00003,19,42,0.9999994736844876,1
PO000348,SUP040,SITE04,P00003,28,48,0.9999996428572704,0
PO000349,SUP040,SITE04,P00003,36,51,0.6111109413580718,1
PO000350,SUP040,SITE04,P00003,48,49,0.99999979166671,0
PO000351,SUP040,SITE04,P00003,19,55,0.9999994736844876,0
PO000352,SUP040,SITE04,P00003,26,45,0.9999996153847633,0
PO000353,SUP040,SITE04,P00003,10,55,0.9999990000010001,0
PO000354,SUP040,SITE04,P00003,24,56,0.7499996875001302,1
PO000355,SUP040,SITE04,P00003,15,49,0.9999993333337778,1
PO000356,SUP040,SITE04,P00003,15,49,0.9999993333337778,0
PO000357,SUP040,SITE04,P00003,6,48,0.9999983333361112,1
PO000358,SUP040,SITE04,P00003,65,49,0.9999998461538697,0
PO000359,SUP040,SITE04,P00003,15,49,0.9999993333337778,0
PO000360,SUP040,SITE04,P00003,30,46,0.9999996666667778,1
PO000361,SUP040,SITE04,P00003,31,42,0.9999996774194589,1
PO000362,SUP040,SITE04,P00003,12,40,0.9999991666673611,1
PO000363,SUP040,SITE04,P00003,71,50,0.9999998591549494,0
PO000364,SUP040,SITE04,P00003,32,46,0.9999996875000976,0
PO000365,SUP040,SITE04,P00003,17,53,0.9999994117650519,1
PO000366,SUP040,SITE04,P00003,97,51,0.773195796577753,1
PO000367,SUP040,SITE04,P00003,16,48,0.9999993750003906,1
PO000368,SUP040,SITE04,P00003,71,41,0.8028167883356636,1
PO000369,SUP040,SITE04,P00003,54,50,0.999999814814849,1
PO000370,SUP040,SITE04,P00003,46,51,0.9999997826087429,1
PO000371,SUP040,SITE04,P00003,39,51,0.9999997435898093,0
PO000372,SUP040,SITE04,P00003,25,47,0.99999960000016,1
PO000373,SUP040,SITE04,P00003,33,55,0.9999996969697887,0
PO000374,SUP040,SITE04,P00003,21,51,0.9999995238097505,1
PO000375,SUP040,SITE04,P00003,33,50,0.9999996969697887,0
PO000376,SUP040,SITE04,P00003,17,52,0.9999994117650519,1
PO000377,SUP040,SITE04,P00003,22,44,0.9999995454547521,1
PO000378,SUP040,SITE04,P00003,15,48,0.9999993333337778,1
PO000379,SUP040,SITE04,P00003,25,45,0.99999960000016,0
PO000380,SUP040,SITE05,P00003,23,41,0.9999995652175804,1
PO000381,SUP040,SITE05,P00003,58,46,0.9999998275862366,1
PO000382,SUP040,SITE05,P00003,8,51,0.9999987500015626,1
PO000383,SUP040,SITE05,P00003,30,44,0.9999996666667778,0
PO000384,SUP040,SITE05,P00003,7,53,0.9999985714306123,0
PO000385,SUP040,SITE05,P00003,20,55,0.9999995000002501,1
PO000386,SUP040,SITE05,P00003,18,48,0.9999994444447531,0
PO000387,SUP040,SITE05,P00003,15,47,0.9999993333337778,1
PO000388,SUP040,SITE05,P00003,17,49,0.9999994117650519,1
PO000389,SUP040,SITE05,P00003,17,52,0.7058819377165072,1
PO000390,SUP040,SITE05,P00003,10,46,0.9999990000010001,0
PO000391,SUP040,SITE05,P00003,15,56,0.9999993333337778,1
PO000392,SUP040,SITE05,P00003,10,45,0.9999990000010001,0
PO000393,SUP040,SITE05,P00003,9,46,0.9999988888901234,1
PO000394,SUP040,SITE05,P00003,27,48,0.9999996296297669,0
PO000395,SUP040,SITE05,P00003,22,48,0.9999995454547521,1
PO000396,SUP040,SITE05,P00003,17,49,0.7058819377165072,1
PO000397,SUP040,SITE05,P00003,13,49,0.9999992307698226,1
PO000398,SUP040,SITE05,P00003,10,48,0.9999990000010001,1
PO000399,SUP040,SITE05,P00003,7,45,0.9999985714306123,1
PO000400,SUP040,SITE05,P00003,4,50,0.9999975000062501,0
PO000401,SUP040,SITE05,P00003,23,47,0.9999995652175804,0
PO000402,SUP040,SITE05,P00003,40,46,0.9999997500000625,1
PO000403,SUP040,SITE05,P00003,13,47,0.9999992307698226,1
PO000404,SUP040,SITE05,P00003,12,45,0.9999991666673611,0
PO000405,SUP040,SITE05,P00003,13,53,0.9999992307698226,0
PO000406,SUP040,SITE05,P00003,8,46,0.9999987500015626,0
PO000407,SUP040,SITE05,P00003,17,48,0.8235289273359251,0
PO000408,SUP040,SITE05,P00003,22,41,0.9999995454547521,1
PO000409,SUP040,SITE06,P00003,12,46,0.9999991666673611,1
